model,protocol,metric,mean,sd,ci_lo,ci_hi,n_subjects
linear,loso,binary_acc,0.505763748597082,0.016330498808239276,0.49705519781144786,0.5133890625,16
linear,loso,null_binary,0.499570847362514,0.009656405420885325,0.49509301346801343,0.504347257295174,16
linear,loso,four_acc,0.25403872053872056,0.014805990494446752,0.24634820075757574,0.2609395833333334,16
linear,loso,null_four,0.24615151515151515,0.00893252818007237,0.2421246212121212,0.2507199337121212,16
linear,loso,causal_margin,0.011355148709315378,0.012904654340540809,0.004538568848204256,0.017317363741582496,16
linear,within,binary_acc,0.5074440789473684,0.01827757341971257,0.49858072002923975,0.5158470029239766,16
linear,within,null_binary,0.49969809941520466,0.008199131215492397,0.4959341282894736,0.5036946363304093,16
linear,within,four_acc,0.25306249999999997,0.016817739786540203,0.24493697916666665,0.26135625,16
linear,within,null_four,0.24659978070175437,0.009571208996623587,0.24198654057017543,0.2510586348684211,16
linear,within,causal_margin,0.0038148757309941534,0.009294060576553591,-0.0004122624269005839,0.008382469846491226,16
vlaai,loso,binary_acc,0.563510241301908,0.029770418858454602,0.5495374947390572,0.5791,16
vlaai,loso,null_binary,0.49950063131313127,0.006582950193573642,0.49633484848484843,0.5026267676767677,16
vlaai,loso,four_acc,0.3149715909090909,0.030925835609840784,0.30057779356060604,0.3314129261363636,16
vlaai,loso,null_four,0.24710058922558922,0.00757607171767309,0.24345833333333333,0.25045527672558926,16
vlaai,loso,causal_margin,-0.006534301346801339,0.03828601505475984,-0.02545488478535352,0.01140249368686869,16
vlaai,within,binary_acc,0.5453654970760233,0.017712930093971926,0.536596875,0.554019206871345,16
vlaai,within,null_binary,0.5006578947368421,0.008404642321412045,0.4962270376461988,0.5043943530701754,16
vlaai,within,four_acc,0.2917565789473684,0.018288019920976683,0.2827480811403509,0.30084007675438595,16
vlaai,within,null_four,0.25072697368421054,0.009737025778159355,0.24590921052631579,0.2552686951754386,16
vlaai,within,causal_margin,0.001557565789473689,0.009360113245700137,-0.002758753654970755,0.005919407894736848,16
vlaaimb,loso,binary_acc,0.5674797278338946,0.02833674523351238,0.5534318778058361,0.5819892361111111,16
vlaaimb,loso,null_binary,0.5018975869809204,0.008246983224677798,0.4976887766554433,0.5058550347222223,16
vlaaimb,loso,four_acc,0.32836300505050503,0.031029653311198578,0.3125869318181818,0.34383437499999997,16
vlaaimb,loso,null_four,0.2598857323232323,0.007124150227358226,0.256427398989899,0.2633336016414142,16
vlaaimb,loso,causal_margin,-0.010241126543209876,0.04055049068453622,-0.029771084104938277,0.00938456790123454,16
vlaaimb,within,binary_acc,0.5475701754385964,0.02085721141099875,0.5375605902777777,0.5577989948830409,16
vlaaimb,within,null_binary,0.5024495614035087,0.007563075868699484,0.49874040570175443,0.5060192616959065,16
vlaaimb,within,four_acc,0.3027094298245614,0.023908397994064395,0.29106411732456144,0.31483648574561407,16
vlaaimb,within,null_four,0.2608464912280702,0.005580652186281969,0.25793750000000004,0.26352631578947366,16
vlaaimb,within,causal_margin,0.003348501461988303,0.008937115562511203,-0.0009512929459064347,0.007400639619883045,16
vlaaimbmm,loso,binary_acc,0.577026795735129,0.0375623047133552,0.5580248070987655,0.5955717013888888,16
vlaaimbmm,loso,null_binary,0.5075804573512906,0.007467978059942551,0.5037397604517396,0.5112725168350168,16
vlaaimbmm,loso,four_acc,0.33536426767676764,0.039139433392167904,0.31563369633838384,0.3543976483585859,16
vlaaimbmm,loso,null_four,0.26050042087542086,0.00794985528582575,0.256625,0.2642718855218855,16
vlaaimbmm,loso,causal_margin,-0.0024183150953984217,0.043478679601271226,-0.022628516940235696,0.018543143237934896,16
vlaaimbmm,within,binary_acc,0.5338943713450293,0.014387758628718212,0.5268994060672515,0.5408798519736842,16
vlaaimbmm,within,null_binary,0.503470029239766,0.0078050008551829655,0.49917315423976605,0.5068752375730995,16
vlaaimbmm,within,four_acc,0.28787280701754386,0.015443231585906592,0.2803722861842105,0.2953504111842105,16
vlaaimbmm,within,null_four,0.25675000000000003,0.0072365776134548305,0.252625,0.25995885416666675,16
vlaaimbmm,within,causal_margin,-4.276315789472976e-05,0.006965849887528279,-0.0033349780701754316,0.0033892086988304183,16
