protocol,task,mode,metric,chance,test_subject,fold,value,best_val
gh_loso,speaker4,eeg,acc,0.25,1,,0.44,0.44
gh_loso,speaker4,eeg,acc,0.25,2,,0.44,0.44
gh_loso,speaker4,eeg,acc,0.25,3,,0.45,0.45
gh_loso,speaker4,eeg,acc,0.25,4,,0.46,0.46
gh_loso,speaker4,eeg,acc,0.25,5,,0.45,0.45
gh_loso,speaker4,eeg,acc,0.25,6,,0.46,0.46
gh_loso,speaker4,eeg,acc,0.25,7,,0.47,0.47
gh_loso,speaker4,eeg,acc,0.25,8,,0.46,0.46
gh_loso,speaker4,eeg,acc,0.25,9,,0.48,0.48
gh_loso,speaker4,eeg,acc,0.25,10,,0.46,0.46
gh_loso,speaker4,eeg,acc,0.25,11,,0.44,0.44
gh_loso,speaker4,eeg,acc,0.25,12,,0.45,0.45
gh_loso,speaker4,eeg,acc,0.25,13,,0.44,0.44
gh_loso,speaker4,eeg,acc,0.25,14,,0.44,0.44
gh_loso,speaker4,eeg,acc,0.25,15,,0.48484848484848486,0.48484848484848486
gh_loso,speaker4,eeg,acc,0.25,16,,0.42,0.42
gh_loso,speaker4,gaze,acc,0.25,1,,0.5,0.5
gh_loso,speaker4,gaze,acc,0.25,2,,0.5,0.5
gh_loso,speaker4,gaze,acc,0.25,3,,0.49,0.49
gh_loso,speaker4,gaze,acc,0.25,4,,0.51,0.51
gh_loso,speaker4,gaze,acc,0.25,5,,0.51,0.51
gh_loso,speaker4,gaze,acc,0.25,6,,0.5,0.5
gh_loso,speaker4,gaze,acc,0.25,7,,0.49,0.49
gh_loso,speaker4,gaze,acc,0.25,8,,0.5,0.5
gh_loso,speaker4,gaze,acc,0.25,9,,0.51,0.51
gh_loso,speaker4,gaze,acc,0.25,10,,0.5,0.5
gh_loso,speaker4,gaze,acc,0.25,11,,0.49,0.49
gh_loso,speaker4,gaze,acc,0.25,12,,0.49,0.49
gh_loso,speaker4,gaze,acc,0.25,13,,0.5,0.5
gh_loso,speaker4,gaze,acc,0.25,14,,0.49,0.49
gh_loso,speaker4,gaze,acc,0.25,15,,0.5050505050505051,0.5050505050505051
gh_loso,speaker4,gaze,acc,0.25,16,,0.48,0.48
gh_loso,speaker4,imu,acc,0.25,1,,0.49,0.49
gh_loso,speaker4,imu,acc,0.25,2,,0.48,0.48
gh_loso,speaker4,imu,acc,0.25,3,,0.48,0.48
gh_loso,speaker4,imu,acc,0.25,4,,0.47,0.47
gh_loso,speaker4,imu,acc,0.25,5,,0.48,0.48
gh_loso,speaker4,imu,acc,0.25,6,,0.49,0.49
gh_loso,speaker4,imu,acc,0.25,7,,0.49,0.49
gh_loso,speaker4,imu,acc,0.25,8,,0.49,0.49
