protocol,task,mode,metric,mean,std,ci_lo,ci_hi,n_subjects,chance
gh_pooled,eccentricity,eeg,acc,0.6397884012539186,0.026664014186609384,0.6147884012539185,0.6589518025078369,5,0.5
gh_pooled,eccentricity,eeg_gaze,acc,0.6404134012539184,0.03251657886334767,0.6097884012539185,0.665201802507837,5,0.5
gh_pooled,eccentricity,eeg_gaze_imu,acc,0.6266340125391849,0.03259886144780857,0.5963930250783699,0.654134012539185,5,0.5
gh_pooled,eccentricity,eeg_imu,acc,0.617884012539185,0.031110183013430777,0.5870180250783699,0.644759012539185,5,0.5
gh_pooled,eccentricity,gaze,acc,0.629759012539185,0.03274147888113047,0.5997590125391851,0.6578840125391849,5,0.5
gh_pooled,eccentricity,gaze_imu,acc,0.6247570532915361,0.0334018676143148,0.59375,0.653507053291536,5,0.5
gh_pooled,eccentricity,imu,acc,0.611007053291536,0.03454531409093645,0.5749939263322884,0.638507053291536,5,0.5
loso,eccentricity,eeg,acc,0.5607777777777778,0.011408046218284616,0.5548402777777778,0.566125,16,0.5
loso,eccentricity,eeg_gaze,acc,0.5755006313131312,0.01452694747522825,0.5686875,0.5826284564393939,16,0.5
loso,eccentricity,eeg_gaze_imu,acc,0.5725006313131313,0.016020642647123377,0.5649375,0.5808159406565656,16,0.5
loso,eccentricity,eeg_imu,acc,0.5597228535353536,0.007581085642155546,0.5559721748737374,0.5634728535353535,16,0.5
loso,eccentricity,gaze,acc,0.5748756313131312,0.014756943013017792,0.5678734375,0.5821278093434343,16,0.5
loso,eccentricity,gaze_imu,acc,0.5718131313131312,0.016723911104534844,0.563938115530303,0.5803762784090909,16,0.5
loso,eccentricity,imu,acc,0.5589103535353535,0.007963971387357348,0.5550705018939394,0.56275,16,0.5
within,eccentricity,eeg,acc,0.5036121323529412,0.013881753043299213,0.4968460477941176,0.5106541819852942,16,0.5
within,eccentricity,eeg_gaze,acc,0.4898253676470588,0.007981238941282607,0.48612568933823525,0.49400758272058826,16,0.5
within,eccentricity,eeg_gaze_imu,acc,0.49942555147058826,0.011765487644924445,0.4936120174632353,0.5048026194852941,16,0.5
within,eccentricity,eeg_imu,acc,0.5095542279411764,0.008193807527646655,0.5057992876838235,0.5136860064338236,16,0.5
within,eccentricity,gaze,acc,0.49473345588235296,0.005297172512722383,0.49209512867647054,0.49750953584558827,16,0.5
within,eccentricity,gaze_imu,acc,0.4978033088235294,0.010915244751615653,0.4922786075367647,0.5030244715073529,16,0.5
within,eccentricity,imu,acc,0.5124540441176471,0.011732863473539228,0.5064192325367647,0.5177162224264706,16,0.5
gh_pooled,hemisphere,eeg,acc,0.6710344827586207,0.016665685043427,0.6572790948275862,0.6860344827586207,5,0.5
gh_pooled,hemisphere,eeg_gaze,acc,0.6647844827586207,0.024875712903341382,0.6429094827586207,0.6849999999999999,5,0.5
gh_pooled,hemisphere,eeg_gaze_imu,acc,0.6447668495297806,0.02442063707066134,0.6253918495297806,0.6668749999999999,5,0.5
gh_pooled,hemisphere,eeg_imu,acc,0.6510168495297806,0.022484036466228693,0.6324255485893417,0.67,5,0.5
gh_pooled,hemisphere,gaze,acc,0.6053624608150472,0.014756760910206569,0.591087382445141,0.6174999999999999,5,0.5
gh_pooled,hemisphere,gaze_imu,acc,0.6084952978056426,0.013610448510683352,0.5961108934169278,0.620625,5,0.5
gh_pooled,hemisphere,imu,acc,0.6091202978056426,0.02280214214509042,0.5938655956112852,0.6322452978056425,5,0.5
loso,hemisphere,eeg,acc,0.5582815656565656,0.010460956577999078,0.55325,0.5633140624999999,16,0.5
loso,hemisphere,eeg_gaze,acc,0.5616041666666667,0.01006314697713059,0.5565416666666667,0.5664177083333333,16,0.5
loso,hemisphere,eeg_gaze_imu,acc,0.570298611111111,0.008895459268742195,0.5660338541666666,0.5746600694444444,16,0.5
loso,hemisphere,eeg_imu,acc,0.5693617424242423,0.009904887839667385,0.5646105113636364,0.5742992424242424,16,0.5
loso,hemisphere,gaze,acc,0.5615397727272727,0.00853041887771862,0.5574998579545455,0.5658134943181818,16,0.5
loso,hemisphere,gaze_imu,acc,0.5706111111111111,0.008854795729287443,0.5663746527777778,0.574986111111111,16,0.5
loso,hemisphere,imu,acc,0.5698623737373737,0.008998949078611162,0.5656111268939393,0.5743500631313131,16,0.5
within,hemisphere,eeg,acc,0.4846829044117647,0.007725388858951043,0.48098334099264706,0.4884609375,16,0.5
within,hemisphere,eeg_gaze,acc,0.5074678308823529,0.0071673719947666055,0.504089958639706,0.5111719898897059,16,0.5
within,hemisphere,eeg_gaze_imu,acc,0.5106433823529413,0.009603490801539804,0.5061071920955882,0.5154646139705882,16,0.5
within,hemisphere,eeg_imu,acc,0.5010569852941177,0.011482391498614986,0.4953860294117647,0.5064342830882355,16,0.5
within,hemisphere,gaze,acc,0.5067876838235293,0.008957232959757222,0.5024119944852942,0.5113051470588235,16,0.5
within,hemisphere,gaze_imu,acc,0.5084926470588236,0.008519303404215611,0.5044161305147059,0.512881893382353,16,0.5
within,hemisphere,imu,acc,0.5049264705882353,0.010982159811544248,0.49974184283088235,0.5102209329044118,16,0.5
gh_loso,speaker4,eeg,acc,0.4528030303030303,0.016180051827326954,0.445,0.4602840909090909,16,0.25
gh_loso,speaker4,gaze,acc,0.4978156565656565,0.008474837393125278,0.4937422664141414,0.5015719696969697,16,0.25
gh_loso,speaker4,imu,acc,0.48154671717171715,0.007455332308907583,0.4777967171717171,0.485,16,0.25
gh_pooled,speaker4,eeg,acc,0.4534188871473354,0.03292033113405314,0.42874999999999996,0.4859294670846392,5,0.25
gh_pooled,speaker4,eeg_gaze,acc,0.4909228056426332,0.014883449750338404,0.47872061128526644,0.5046809855015673,5,0.25
gh_pooled,speaker4,eeg_gaze_imu,acc,0.4865380094043886,0.018084213894504007,0.4708640282131662,0.5025,5,0.25
gh_pooled,speaker4,eeg_imu,acc,0.4865458463949843,0.019009886020223837,0.4718416927899686,0.5034208463949843,5,0.25
gh_pooled,speaker4,gaze,acc,0.48529780564263325,0.010451908435805997,0.4768456112852665,0.4952978056426332,5,0.25
gh_pooled,speaker4,gaze_imu,acc,0.4827899686520377,0.011811808972174983,0.4724549373040753,0.4931249999999999,5,0.25
gh_pooled,speaker4,imu,acc,0.4777958463949843,0.008978617845421812,0.4696708463949843,0.485,5,0.25
loso,speaker4,eeg,acc,0.35609406565656565,0.0354022005816624,0.339559375,0.3737521780303031,16,0.25
loso,speaker4,eeg_gaze,acc,0.3820353535353535,0.01968960040855441,0.37253535353535355,0.3922508838383838,16,0.25
loso,speaker4,eeg_gaze_imu,acc,0.3806609848484849,0.020187954689588988,0.37118461174242423,0.3909116477272727,16,0.25
loso,speaker4,eeg_imu,acc,0.37465656565656563,0.021417159295159992,0.36459251893939393,0.3850979640151515,16,0.25
loso,speaker4,gaze,acc,0.36690909090909085,0.01574004342249883,0.3598465909090909,0.37528480113636364,16,0.25
loso,speaker4,gaze_imu,acc,0.3679760101010101,0.016820270851466156,0.3603125,0.3767297348484848,16,0.25
