corpus,n_windows,n_listeners,n_content,window_sec,K,chance,probe_raw,excess_raw,probe_qmatch,excess_qmatch
dtu,43200,18,7,2.0,2,0.5,0.5010416666666667,0.0010416666666667,0.5016435185185185,0.0016435185185185
dtu,20520,18,7,5.0,2,0.5,0.5000974658869396,9.746588693959612e-05,0.501608187134503,0.0016081871345029
dtu,9720,18,7,10.0,2,0.5,0.5008230452674897,0.0008230452674896,0.5024691358024691,0.0024691358024691
dtu,2160,18,7,30.0,2,0.5,0.4981481481481482,-0.0018518518518518,0.5027777777777778,0.0027777777777777
kul,12614,16,8,2.0,2,0.5,0.5944981766291422,0.0944981766291421,0.5321071824956398,0.0321071824956398
kul,12637,16,8,5.0,2,0.5,0.6384426683548311,0.1384426683548311,0.5400807153596582,0.0400807153596581
kul,9564,16,8,10.0,2,0.5,0.6946884148891677,0.1946884148891676,0.5974487662066081,0.0974487662066081
kul,4608,16,8,30.0,2,0.5,0.5729166666666666,0.0729166666666666,0.5208333333333334,0.0208333333333333
nju,23634,21,245,2.0,2,0.5,0.5037234492680037,0.0037234492680037,0.5012270457815012,0.0012270457815012
nju,17689,21,245,5.0,2,0.5,0.5044943185030245,0.0044943185030245,0.4940358414834078,-0.0059641585165922
nju,8733,21,245,10.0,2,0.5,0.4994847131569907,-0.0005152868430092,0.5025764342150464,0.0025764342150463
nju,2364,21,242,30.0,2,0.5,0.5,0.0,0.5076142131979695,0.0076142131979695
